change;rig;diff;diff_to_initial;model_instance
{'add': ['feature99']};0.9985502828799538;1.019177203587387;1.019177203587387;100
{'add': ['feature98']};0.9985502828799538;1.019177203587387;1.019177203587387;99
{'add': ['feature23']};0.23865014720115485;0.25927706790858807;0.25927706790858807;25
{'add': ['feature22']};0.1873707610194254;0.20799768172685862;0.20799768172685862;24
{'add': ['feature86']};0.18647041667281428;0.2070973373802475;0.2070973373802475;88
{'add': ['feature85']};0.1864668119884656;0.2070937326958988;0.2070937326958988;87
{'add': ['feature88']};0.18645454168679054;0.20708146239422376;0.20708146239422376;90
{'add': ['feature89']};0.18645454168679054;0.20708146239422376;0.20708146239422376;91
{'add': ['feature87']};0.18645454168679054;0.20708146239422376;0.20708146239422376;89
{'add': ['feature84']};0.1861464287539384;0.2067733494613716;0.2067733494613716;86
{'add': ['feature83']};0.18514354666262;0.20577046737005322;0.20577046737005322;85
{'add': ['feature82']};0.1761853222309553;0.1968122429383885;0.1968122429383885;84
{'add': ['feature81']};0.1554045937562426;0.17603151446367582;0.17603151446367582;83
{'add': ['feature10']};0.1495989842711164;0.1702259049785496;0.1702259049785496;12
{'add': ['feature1']};0.14714178102209974;0.16776870172953295;0.16776870172953295;3
{'add': ['feature3']};0.14445496524180956;0.16508188594924278;0.16508188594924278;5
{'add': ['feature2']};0.13292354373941506;0.15355046444684828;0.15355046444684828;4
{'add': ['feature9']};0.1014406712945759;0.12206759200200912;0.12206759200200912;11
{'add': ['feature21']};0.09248105600552659;0.1131079767129598;0.1131079767129598;23
{'add': ['feature8']};0.09139278788676442;0.11201970859419763;0.11201970859419763;10
{'add': ['feature0']};0.07697169064603848;0.0975986113534717;0.0975986113534717;2
{'add': ['feature19']};0.0753810186426156;0.09600793935004881;0.09600793935004881;21
{'add': ['feature20']};0.07041008357860035;0.09103700428603356;0.09103700428603356;22
{'add': ['feature44']};0.05574583066186167;0.07637275136929489;0.07637275136929489;46
{'add': ['feature18']};0.0441268881802902;0.06475380888772342;0.06475380888772342;20
{'add': ['feature43']};0.042471487929359286;0.0630984086367925;0.0630984086367925;45
{'add': ['feature49']};0.039416660312687646;0.06004358102012086;0.06004358102012086;51
{'add': ['feature15']};0.03933484589412639;0.05996176660155961;0.05996176660155961;17
{'add': ['feature40']};0.038154084649430264;0.05878100535686348;0.05878100535686348;42
{'add': ['feature32']};0.03804256088970126;0.058669481597134476;0.058669481597134476;34
{'add': ['feature90']};0.03804182589748928;0.058668746604922495;0.058668746604922495;92
{'add': ['feature91']};0.03797146364654724;0.05859838435398046;0.05859838435398046;93
{'add': ['feature14']};0.03782495498768901;0.058451875695122224;0.058451875695122224;16
{'add': ['feature71']};0.036482091728272326;0.05710901243570554;0.05710901243570554;73
{'add': ['feature39']};0.03554954729082893;0.05617646799826215;0.05617646799826215;41
{'add': ['feature17']};0.03440247229670734;0.05502939300414056;0.05502939300414056;19
{'add': ['feature42']};0.03407423569189849;0.05470115639933171;0.05470115639933171;44
{'add': ['feature26']};0.033355082719179974;0.05398200342661319;0.05398200342661319;28
{'add': ['feature51']};0.032754577514237826;0.05338149822167104;0.05338149822167104;53
{'add': ['feature5']};0.03126101647737489;0.05188793718480811;0.05188793718480811;7
{'add': ['feature56']};0.031079688357002033;0.05170660906443525;0.05170660906443525;58
{'add': ['feature47']};0.031073732393790632;0.05170065310122385;0.05170065310122385;49
{'add': ['feature27']};0.030985311164713703;0.05161223187214692;0.05161223187214692;29
{'add': ['feature48']};0.030550352448295404;0.05117727315572862;0.05117727315572862;50
{'add': ['feature46']};0.030505268429659282;0.0511321891370925;0.0511321891370925;48
{'add': ['feature54']};0.030209515150127597;0.05083643585756081;0.05083643585756081;56
{'add': ['feature36']};0.030116106472439452;0.05074302717987267;0.05074302717987267;38
{'add': ['feature59']};0.030032636521021394;0.05065955722845461;0.05065955722845461;61
{'add': ['feature12']};0.02971897395205292;0.050345894659486135;0.050345894659486135;14
{'add': ['feature62']};0.029188380880494358;0.049815301587927574;0.049815301587927574;64
{'add': ['feature38']};0.02887209206737773;0.049499012774810947;0.049499012774810947;40
{'add': ['feature16']};0.028779149336609744;0.04940607004404296;0.04940607004404296;18
{'add': ['feature37']};0.028735712309470807;0.04936263301690402;0.04936263301690402;39
{'add': ['feature28']};0.028373048435345938;0.048999969142779154;0.048999969142779154;30
{'add': ['feature7']};0.027626595233715356;0.04825351594114857;0.04825351594114857;9
{'add': ['feature41']};0.0269103567242156;0.04753727743164882;0.04753727743164882;43
{'add': ['feature34']};0.026632809709328353;0.04725973041676157;0.04725973041676157;36
{'add': ['feature35']};0.026581355963923192;0.04720827667135641;0.04720827667135641;37
{'add': ['feature55']};0.026366517045676607;0.046993437753109824;0.046993437753109824;57
{'add': ['feature52']};0.026107150098596987;0.046734070806030203;0.046734070806030203;54
{'add': ['feature50']};0.025287369698668516;0.04591429040610173;0.04591429040610173;52
{'add': ['feature69']};0.0246415839789077;0.045268504686340916;0.045268504686340916;71
{'add': ['feature6']};0.024328428783794376;0.04495534949122759;0.04495534949122759;8
{'add': ['feature92']};0.02427382012251711;0.044900740829950325;0.044900740829950325;/
{'add': ['feature93']};0.02427382012251711;0.044900740829950325;0.044900740829950325;94
{'add': ['feature70']};0.02427382012251711;0.044900740829950325;0.044900740829950325;72
{'add': ['feature94']};0.02427382012251711;0.044900740829950325;0.044900740829950325;95
{'add': ['feature95']};0.02427382012251711;0.044900740829950325;0.044900740829950325;96
{'add': ['feature96']};0.02427382012251711;0.044900740829950325;0.044900740829950325;97
{'add': ['feature97']};0.02427382012251711;0.044900740829950325;0.044900740829950325;98
{'add': ['feature75']};0.024270076002488872;0.04489699670992209;0.04489699670992209;77
{'add': ['feature74']};0.024269951431172165;0.04489687213860538;0.04489687213860538;76
{'add': ['feature73']};0.024269927791684798;0.044896848499118014;0.044896848499118014;75
{'add': ['feature80']};0.024269927791684798;0.044896848499118014;0.044896848499118014;82
{'add': ['feature79']};0.024269927791684798;0.044896848499118014;0.044896848499118014;81
{'add': ['feature76']};0.024269927791684798;0.044896848499118014;0.044896848499118014;78
{'add': ['feature77']};0.024269874730379892;0.04489679543781311;0.04489679543781311;79
{'add': ['feature78']};0.024269834663879886;0.0448967553713131;0.0448967553713131;80
{'add': ['feature72']};0.024257805939473243;0.04488472664690646;0.04488472664690646;74
{'add': ['feature67']};0.0237109676500874;0.044337888357520616;0.044337888357520616;69
{'add': ['feature66']};0.023539615566100625;0.04416653627353384;0.04416653627353384;68
{'add': ['feature68']};0.02347516441239761;0.044102085119830825;0.044102085119830825;70
{'add': ['feature65']};0.02342762283482669;0.044054543542259905;0.044054543542259905;67
{'add': ['feature11']};0.023058160891439416;0.04368508159887263;0.04368508159887263;13
{'add': ['feature4']};0.02295677100152238;0.043583691708955596;0.043583691708955596;6
{'add': ['feature13']};0.02279816293903958;0.043425083646472795;0.043425083646472795;15
{'add': ['feature24']};0.022794188472709642;0.04342110918014286;0.04342110918014286;26
{'add': ['feature31']};0.022452062816719187;0.0430789835241524;0.0430789835241524;33
{'add': ['feature25']};0.022160732335138822;0.04278765304257204;0.04278765304257204;27
{'add': ['feature61']};0.021789022594851604;0.04241594330228482;0.04241594330228482;63
{'add': ['feature45']};0.021627706489405707;0.04225462719683892;0.04225462719683892;47
{'add': ['feature53']};0.021127242770081267;0.04175416347751448;0.04175416347751448;55
{'add': ['feature63']};0.020395058144093148;0.041021978851526364;0.041021978851526364;65
{'add': ['feature30']};0.01997311840067373;0.040600039108106944;0.040600039108106944;32
{'add': ['feature58']};0.019702721796739375;0.04032964250417259;0.04032964250417259;60
{'add': ['feature64']};0.01949252103876653;0.04011944174619975;0.04011944174619975;66
{'add': ['feature29']};0.019238620404941287;0.0398655411123745;0.0398655411123745;31
{'add': ['feature57']};0.018380617835753954;0.03900753854318717;0.03900753854318717;59
{'add': ['feature60']};-0.012791124298988432;0.007835796408444784;0.007835796408444784;62
{'add': ['feature33']};-0.013038158775750652;0.007588761931682564;0.007588761931682564;35
{};-0.020626920707433216;0;0;1