generation;change;rig;diff;diff_to_initial;model_instance
-1;{'add': ['feature23']};0.2369034296579342;/;/;/
0;{'add': ['feature12']};0.2369034296579342;0.16766404486818087;0.16766404486818087;204
1;{'add': ['feature10']};0.24082397540685507;0.003920545748920867;0.17158459061710174;298
2;{'add': ['feature21']};0.24544313828215913;0.0046191628753040614;0.1762037534924058;403
3;{'add': ['feature16']};0.24720925260088478;0.0017661143187256423;0.17796986781113144;493
4;{'add': ['feature19']};0.24812092167012734;0.00091166906924256;0.178881536880374;589
5;{'add': ['feature15']};0.24884272257651663;0.0007218009063892916;0.1796033377867633;679
6;{'add': ['feature49']};0.24959486334701408;0.0007521407704974559;0.18035547855726075;800
7;{'add': ['feature11']};0.2502711934268932;0.0006763300798791061;0.18103180863713986;859
8;{'add': ['feature51']};0.25120405432627324;0.0009328608993800502;0.1819646695365199;981
9;{'add': ['feature1']};0.25178425659725745;0.0005802022709842092;0.18254487180750412;1029
10;{'add': ['feature46']};0.25268773809038325;0.0009034814931258017;0.18344835330062992;1153
11;{'add': ['feature40']};0.25345623757682223;0.0007684994864389783;0.1842168527870689;1234
12;{'add': ['feature26']};0.254017853936793;0.0005616163599707624;0.18477846914703966;1306
13;{'add': ['feature59']};0.25452347604577275;0.000505622108979753;0.1852840912560194;1419
14;{'add': ['feature20']};0.2548944771860603;0.0003710011402875413;0.18565509239630695;1471
15;{'add': ['feature22']};0.25530526111439245;0.00041078392833215904;0.1860658763246391;1554
16;{'add': ['feature2']};0.2557780182963053;0.000472757181912864;0.18653863350655198;1624
17;{'add': ['feature41']};0.2562848809529332;0.0005068626566279155;0.1870454961631799;1731
18;{'add': ['feature62']};0.2566101398649142;0.00032525891198098567;0.18737075507516088;1827
19;{'add': ['feature58']};0.2569083362511536;0.00029819638623940214;0.18766895146140028;1903
20;{'add': ['feature13']};0.25724292101217583;0.00033458476102221635;0.1880035362224225;1949
21;{'add': ['feature63']};0.25745637381861786;0.00021345280644202713;0.18821698902886452;2059
22;{'add': ['feature45']};0.25788833080343954;0.00043195698482167977;0.1886489460136862;2123
23;{'add': ['feature54']};0.2581798841859312;0.0002915533824916494;0.18894049939617785;2203
24;{'add': ['feature42']};0.25836104250810477;0.0001811583221735802;0.18912165771835143;2269
25;{'add': ['feature18']};0.25854034667893266;0.00017930417082789862;0.18930096188917933;2326
26;{'add': ['feature27']};0.2586874514762496;0.0001471047973169437;0.18944806668649627;2400
27;{'add': ['feature90']};0.25887485179424774;0.00018740031799813206;0.1896354670044944;2521
28;{'add': ['feature61']};0.25895374519121483;0.00007889339696709463;0.1897143604014615;2564
29;{'add': ['feature28']};0.25900712853597874;0.00005338334476390205;0.1897677437462254;2610
30;{'add': ['feature3']};0.2592795605638648;0.00027243202788607146;0.19004017577411147;2667
31;{'add': ['feature32']};0.25933855393411653;0.00005899337025172535;0.1900991691443632;2747
32;{'add': ['feature50']};0.2593321709563191;-0.000006382977797425582;0.19009278616656577;2824
33;{'add': ['feature37']};0.2595240679085946;0.0001918969522755054;0.19028468311884128;2882
34;{'add': ['feature52']};0.2597016186986282;0.0001775507900335649;0.19046223390887485;2952
35;{'add': ['feature0']};0.25978030687571496;0.0000786881770867831;0.19054092208596163;2991
36;{'add': ['feature44']};0.25985787854237763;0.00007757166666266802;0.1906184937526243;3073
37;{'add': ['feature91']};0.2599448427540133;0.00008696421163567614;0.19070545796425997;3167
38;{'add': ['feature57']};0.25997219886074174;0.0000273561067284378;0.1907328140709884;3199
39;{'add': ['feature47']};0.26017442015072123;0.0002022212899794873;0.1909350353609679;3253
40;{'add': ['feature55']};0.2601681980614481;-0.000006222089273144604;0.19092881327169475;3313
41;{'add': ['feature35']};0.26018503239357715;0.000016834332129067597;0.19094564760382382;3363
42;{'add': ['feature17']};0.2602544396374282;0.00006940724385107178;0.1910150548476749;3411
43;{'add': ['feature64']};0.2602103615045316;-0.00004407813289664109;0.19097097671477825;3481
44;{'add': ['feature34']};0.2602457518492969;0.0000353903447652959;0.19100636705954355;3526
45;{'add': ['feature48']};0.260236250382354;-0.000009501466942896108;0.19099686559260065;3583
46;{'add': ['feature30']};0.2602521120777831;0.00001586169542910909;0.19101272728802976;3628
47;{'add': ['feature69']};0.26023099897771473;-0.000021113100068359536;0.1909916141879614;3692
48;{'add': ['feature14']};0.26014614044465534;-0.00008485853305939539;0.190906755654902;3725
49;{'add': ['feature31']};0.2601740177071207;0.000027877262465336727;0.19093463291736734;3777
50;{'add': ['feature66']};0.2601605508649928;-0.00001346684212788496;0.19092116607523946;3834
51;{'add': ['feature39']};0.2601688580190542;0.000008307154061415467;0.19092947322930087;3875
52;{'add': ['feature25']};0.2602284380966752;0.00005958007762096873;0.19098905330692184;3916
53;{'add': ['feature38']};0.2602088332431811;-0.000019604853494059604;0.19096944845342778;3964
54;{'add': ['feature53']};0.2602532444535639;0.000044411210382788724;0.19101385966381057;4009
55;{'add': ['feature68']};0.26012080438907725;-0.0001324400644866497;0.19088141959932392;4056
56;{'add': ['feature43']};0.26013594137829754;0.000015136989220287944;0.1908965565885442;4093
57;{'add': ['feature29']};0.26010548822276913;-0.000030453155528409326;0.1908661034330158;4131
58;{'add': ['feature56']};0.26009574000764735;-0.000009748215121785364;0.190856355217894;4173
59;{'add': ['feature65']};0.26007292317179154;-0.00002281683585581007;0.1908335383820382;4213
60;{'add': ['feature76']};0.26001432003984815;-0.00005860313194339106;0.1907749352500948;4258
61;{'add': ['feature72']};0.25998986563118265;-0.000024454408665497418;0.19075048084142932;4291
62;{'add': ['feature79']};0.25996277560428926;-0.0000270900268933838;0.19072339081453593;4332
63;{'add': ['feature4']};0.25991003181278216;-0.00005274379150710384;0.19067064702302883;4349
64;{'add': ['feature6']};0.2598841020086903;-0.00002592980409188428;0.19064471721893694;4384
65;{'add': ['feature78']};0.25984023668669676;-0.000043865321993519224;0.19060085189694342;4431
66;{'add': ['feature5']};0.25979234825063313;-0.000047888436063625583;0.1905529634608798;4448
67;{'add': ['feature8']};0.25975860135963325;-0.00003374689099988615;0.1905192165698799;4480
68;{'add': ['feature87']};0.2597190596326554;-0.000039541726977843084;0.19047967484290207;4529
69;{'add': ['feature97']};0.25965916154467483;-0.00005989808798056995;0.1904197767549215;4565
70;{'add': ['feature67']};0.2595897948906606;-0.0000693666540142468;0.19035041010090725;4572
71;{'add': ['feature70']};0.25957549636851274;-0.000014298522147848658;0.1903361115787594;4599
72;{'add': ['feature96']};0.2594872344627812;-0.0000882619057315237;0.19024784967302788;4643
73;{'add': ['feature83']};0.2594520137973849;-0.00003522066539629609;0.19021262900763158;4658
74;{'add': ['feature81']};0.25938695674836465;-0.00006505704902026732;0.19014757195861132;4680
75;{'add': ['feature80']};0.25937330177992;-0.000013654968444631876;0.19013391699016668;4702
76;{'add': ['feature95']};0.2593041686705706;-0.00006913310934941741;0.19006478388081727;4733
77;{'add': ['feature88']};0.2592948155946809;-0.000009353075889673157;0.1900554308049276;4749
78;{'add': ['feature94']};0.2591992245812249;-0.00009559101345602006;0.18995983979147157;4772
79;{'add': ['feature82']};0.2591661770500924;-0.00003304753113253511;0.18992679226033904;4784
80;{'add': ['feature7']};0.25915177282741253;-0.000014404222679842427;0.1899123880376592;4791
81;{'add': ['feature36']};0.2590877286182457;-0.00006404420916683584;0.18984834382849236;4811
82;{'add': ['feature93']};0.25907168834007654;-0.000016040278169149325;0.1898323035503232;4838
83;{'add': ['feature92']};0.25900292929608726;-0.000068759043989286;0.18976354450633393;4852
84;{'add': ['feature74']};0.2589616739468228;-0.0000412553492644685;0.18972228915706946;4859
85;{'add': ['feature85']};0.25887115465628185;-0.00009051929054093577;0.18963176986652852;4875
86;{'add': ['feature86']};0.25881521617292813;-0.000055938483353723534;0.1895758313831748;4887
87;{'add': ['feature77']};0.2587615605778203;-0.000053655595107837684;0.18952217578806696;4896
88;{'add': ['feature73']};0.25872621536836604;-0.00003534520945425168;0.1894868305786127;4904
89;{'add': ['feature75']};0.2586560444629167;-0.00007017090544936266;0.18941665967316335;4913
90;{'add': ['feature24']};0.25867148759610836;0.000015443133191683778;0.18943210280635503;4917
91;{'add': ['feature89']};0.258520585568749;-0.00015090202735934533;0.18928120077899568;4928
92;{'add': ['feature71']};0.25847475782476104;-0.00004582774398798062;0.1892353730350077;4932
93;{'add': ['feature9']};0.2583159995674543;-0.00015875825730671256;0.189076614777701;4934
94;{'add': ['feature84']};0.25818734883745864;-0.00012865072999568294;0.1889479640477053;4940
95;{'add': ['feature33']};0.25792585395736234;-0.0002614948800963024;0.188686469167609;4941
96;{'add': ['feature60']};0.2575652169511784;-0.00036063700618393923;0.18832583216142507;4943
97;{};0.2575652169511784;0;0.18832583216142507;4943